target_label	preferred	rank_tier	gene_id	transcript_id	transcript_name	chrom	start	end	strand	transcript_type	mane_status	mane_refseq_id	appris	is_canonical	is_basic	cds_length	transcript_length
PRDM16	true	4	ENSG00000142611.12	ENST00000378398.3	PRDM16-201	chr1	2985741	3355183	+	protein_coding				false	true	3828	8721
PRDM16	false	4	ENSG00000142611.12	ENST00000270722.5	PRDM16-001	chr1	2985774	3355185	+	protein_coding			appris_candidate_longest	false	true	3828	8690
PRDM16	false	4	ENSG00000142611.12	ENST00000441472.2	PRDM16-202	chr1	2985741	3355183	+	protein_coding			appris_candidate	false	true	3825	8718
PRDM16	false	4	ENSG00000142611.12	ENST00000378391.2	PRDM16-003	chr1	2985760	3351985	+	protein_coding			appris_candidate	false	true	3771	5447
PRDM16	false	4	ENSG00000142611.12	ENST00000442529.2	PRDM16-203	chr1	2985741	3355183	+	protein_coding			appris_candidate	false	true	3768	8661
PRDM16	false	4	ENSG00000142611.12	ENST00000511072.1	PRDM16-007	chr1	2985731	3350906	+	protein_coding			appris_candidate	false	true	3534	4282
PRDM16	false	4	ENSG00000142611.12	ENST00000514189.1	PRDM16-008	chr1	2985774	3350906	+	protein_coding			appris_candidate	false	true	3531	4236
PRDM16	false	4	ENSG00000142611.12	ENST00000509860.1	PRDM16-002	chr1	3313054	3350857	+	protein_coding				false	false	3252	3737
PRDM16	false	4	ENSG00000142611.12	ENST00000463591.1	PRDM16-004	chr1	3160695	3303482	+	protein_coding				false	false	159	384
PRDM16	false	4	ENSG00000142611.12	ENST00000512462.1	PRDM16-009	chr1	3154494	3350489	+	processed_transcript				false	true	0	3723
PRDM16	false	5	ENSG00000142611.12	ENST00000378389.5	PRDM16-005	chr1	3341482	3350659	+	processed_transcript				false	false	0	1142
PRDM16	false	5	ENSG00000142611.12	ENST00000607632.1	PRDM16-010	chr1	2985746	3103155	+	retained_intron				false	false	0	581
PRDM16	false	5	ENSG00000142611.12	ENST00000606170.1	PRDM16-011	chr1	3341779	3342636	+	retained_intron				false	false	0	557
EPS15	true	3	ENSG00000085832.12	ENST00000371733.3	EPS15-001	chr1	51819934	51985000	-	protein_coding			appris_principal	false	true	2688	5225
EPS15	false	4	ENSG00000085832.12	ENST00000371730.2	EPS15-002	chr1	51819934	51984913	-	protein_coding				false	true	2286	4736
EPS15	false	4	ENSG00000085832.12	ENST00000396122.4	EPS15-201	chr1	51821980	51888990	-	protein_coding				false	true	1719	2153
EPS15	false	4	ENSG00000085832.12	ENST00000493793.1	EPS15-009	chr1	51869100	51887776	-	processed_transcript				false	true	0	987
EPS15	false	5	ENSG00000085832.12	ENST00000465467.1	EPS15-005	chr1	51926794	51984899	-	nonsense_mediated_decay				false	false	269	374
EPS15	false	5	ENSG00000085832.12	ENST00000371727.1	EPS15-003	chr1	51923207	51984917	-	retained_intron				false	false	0	1773
EPS15	false	5	ENSG00000085832.12	ENST00000471391.1	EPS15-006	chr1	51926615	51984926	-	retained_intron				false	false	0	731
EPS15	false	5	ENSG00000085832.12	ENST00000464478.1	EPS15-004	chr1	51924067	51930998	-	processed_transcript				false	false	0	698
EPS15	false	5	ENSG00000085832.12	ENST00000486505.1	EPS15-008	chr1	51859883	51869123	-	retained_intron				false	false	0	631
EPS15	false	5	ENSG00000085832.12	ENST00000478657.1	EPS15-007	chr1	51860090	51866871	-	retained_intron				false	false	0	445
RBM15	true	3	ENSG00000162775.10	ENST00000602849.1	RBM15-003	chr1	110881944	110885312	+	protein_coding			appris_principal	false	true	2871	3368
RBM15	false	4	ENSG00000162775.10	ENST00000369784.3	RBM15-001	chr1	110881127	110889299	+	protein_coding				false	true	2931	4244
RBM15	false	4	ENSG00000162775.10	ENST00000487146.2	RBM15-002	chr1	110881944	110889299	+	protein_coding				false	true	2907	3316
MLLT11	true	3	ENSG00000213190.2	ENST00000368921.3	MLLT11-001	chr1	151030233	151040970	+	protein_coding			appris_principal	false	true	270	4072
PBX1	true	3	ENSG00000185630.14	ENST00000420696.2	PBX1-001	chr1	164528871	164821068	+	protein_coding			appris_principal	false	true	1290	6636
PBX1	false	4	ENSG00000185630.14	ENST00000540236.1	PBX1-202	chr1	164529059	164818639	+	protein_coding				false	true	1260	1263
PBX1	false	4	ENSG00000185630.14	ENST00000367897.1	PBX1-002	chr1	164529059	164816192	+	protein_coding				false	true	1041	1459
PBX1	false	4	ENSG00000185630.14	ENST00000401534.1	PBX1-201	chr1	164529059	164790820	+	protein_coding				false	true	1041	1044
PBX1	false	4	ENSG00000185630.14	ENST00000559240.1	PBX1-012	chr1	164529059	164815913	+	protein_coding				false	true	1017	1020
PBX1	false	4	ENSG00000185630.14	ENST00000560641.1	PBX1-017	chr1	164595242	164816338	+	protein_coding				false	true	975	1804
PBX1	false	4	ENSG00000185630.14	ENST00000540246.1	PBX1-203	chr1	164761728	164854300	+	protein_coding				false	true	903	1459
PBX1	false	4	ENSG00000185630.14	ENST00000340699.3	PBX1-007	chr1	164528643	164761975	+	protein_coding				false	false	510	734
PBX1	false	4	ENSG00000185630.14	ENST00000559578.1	PBX1-013	chr1	164532041	164769120	+	protein_coding				false	false	479	630
PBX1	false	4	ENSG00000185630.14	ENST00000558837.1	PBX1-019	chr1	164742148	164776808	+	protein_coding				false	false	416	577
PBX1	false	4	ENSG00000185630.14	ENST00000482110.1	PBX1-009	chr1	164600217	164769126	+	protein_coding				false	false	386	572
PBX1	false	4	ENSG00000185630.14	ENST00000559560.1	PBX1-018	chr1	164756879	164769033	+	protein_coding				false	false	293	454
PBX1	false	4	ENSG00000185630.14	ENST00000485769.1	PBX1-006	chr1	164528436	164529594	+	protein_coding				false	true	210	834
PBX1	false	4	ENSG00000185630.14	ENST00000474046.1	PBX1-003	chr1	164595272	164651720	+	processed_transcript				false	true	0	1864
PBX1	false	5	ENSG00000185630.14	ENST00000465089.2	PBX1-005	chr1	164781964	164819594	+	retained_intron				false	false	0	11321
PBX1	false	5	ENSG00000185630.14	ENST00000498497.2	PBX1-010	chr1	164529059	164654202	+	retained_intron				false	false	0	3101
