# ONTSeq GRCh37 Adaptive Sampling target/gene curation - RESEARCH USE ONLY
# 111-intent; CT45A2 selection_unmapped; two mapped intervals annotation-unresolved
source_target_label	target_label	declared_chromosome	gene_id	native_gene_name	resolution
PRDM16	PRDM16	chr1	ENSG00000142611.12	PRDM16	direct
EPS15	EPS15	chr1	ENSG00000085832.12	EPS15	direct
RBM15	RBM15	chr1	ENSG00000162775.10	RBM15	direct
MLLT11	MLLT11	chr1	ENSG00000213190.2	MLLT11	direct
PBX1	PBX1	chr1	ENSG00000185630.14	PBX1	direct
ALK	ALK	chr2	ENSG00000171094.11	ALK	direct
AFF3	AFF3	chr2	ENSG00000144218.14	AFF3	direct
ABI2	ABI2	chr2	ENSG00000138443.11	ABI2	direct
SEPTIN2	SEPTIN2	chr2	ENSG00000168385.13	SEPT2	curated_historical_symbol
DCP1A	DCP1A	chr3	ENSG00000162290.12	DCP1A	direct
CIP2A	CIP2A	chr3	ENSG00000163507.9	KIAA1524	curated_historical_symbol
GMPS	GMPS	chr3	ENSG00000163655.11	GMPS	direct
MLF1	MLF1	chr3	ENSG00000178053.13	MLF1	direct
MECOM	MECOM	chr3	ENSG00000085276.13	MECOM	direct
PDS5A	PDS5A	chr4	ENSG00000121892.10	PDS5A	direct
CHIC2	CHIC2	chr4	ENSG00000109220.6	CHIC2	direct
SEPTIN11	SEPTIN11	chr4	ENSG00000138758.7	SEPT11	curated_historical_symbol
AFF1	AFF1	chr4	ENSG00000172493.16	AFF1	direct
ELF2	ELF2	chr4	ENSG00000109381.15	ELF2	direct
ARHGAP26	ARHGAP26	chr5	ENSG00000145819.11	ARHGAP26	direct
IGH_REVIEW_REQUIRED	IGH_REVIEW_REQUIRED	chr5	.	.	unresolved
NPM1	NPM1	chr5	ENSG00000181163.9	NPM1	direct
NSD1	NSD1	chr5	ENSG00000165671.14	NSD1	direct
DEK	DEK	chr6	ENSG00000124795.10	DEK	direct
SMAP1	SMAP1	chr6	ENSG00000112305.10	SMAP1	direct
CASP8AP2	CASP8AP2	chr6	ENSG00000118412.8	CASP8AP2	direct
SNX9	SNX9	chr6	ENSG00000130340.10	SNX9	direct
AFDN	AFDN	chr6	ENSG00000130396.16	MLLT4	curated_historical_symbol
HOXA9	HOXA9	chr7	ENSG00000078399.11	HOXA9	direct
ANLN	ANLN	chr7	ENSG00000011426.6	ANLN	direct
ELN	ELN	chr7	ENSG00000049540.12	ELN	direct
MNX1	MNX1	chr7	ENSG00000130675.10	MNX1	direct
FGFR1	FGFR1	chr8	ENSG00000077782.15	FGFR1	direct
KAT6A	KAT6A	chr8	ENSG00000083168.5	KAT6A	direct
LYN	LYN	chr8	ENSG00000254087.3	LYN	direct
RUNX1T1	RUNX1T1	chr8	ENSG00000079102.12	RUNX1T1	direct
MYC	MYC	chr8	ENSG00000136997.10	MYC	direct
MLLT3	MLLT3	chr9	ENSG00000171843.11	MLLT3	direct
DAPK1	DAPK1	chr9	ENSG00000196730.8	DAPK1	direct
DAB2IP	DAB2IP	chr9	ENSG00000136848.12	DAB2IP	direct
FNBP1	FNBP1	chr9	ENSG00000187239.12	FNBP1	direct
ABL1	ABL1	chr9	ENSG00000097007.13	ABL1	direct
LAMC3	LAMC3	chr9	ENSG00000050555.13	LAMC3	direct
NUP214	NUP214	chr9	ENSG00000126883.12	NUP214	direct
NEBL	NEBL	chr10	ENSG00000078114.14	NEBL	direct
MLLT10	MLLT10	chr10	ENSG00000078403.12	MLLT10	direct
ABI1	ABI1	chr10	ENSG00000136754.12	ABI1	direct
TET1	TET1	chr10	ENSG00000138336.8	TET1	direct
AP2A2	AP2A2	chr11	ENSG00000183020.9	AP2A2	direct
NUP98	NUP98	chr11	ENSG00000110713.11	NUP98	direct
NRIP3	NRIP3	chr11	ENSG00000175352.6	NRIP3	direct
ARHGEF17	ARHGEF17	chr11	ENSG00000110237.3	ARHGEF17	direct
C2CD3	C2CD3	chr11	ENSG00000168014.12	C2CD3	direct
PICALM	PICALM	chr11	ENSG00000073921.13	PICALM	direct
NOX4	NOX4	chr11	ENSG00000086991.8	NOX4	direct
DDX10	DDX10	chr11	ENSG00000178105.5	DDX10	direct
BUD13	BUD13	chr11	ENSG00000137656.7	BUD13	direct
DSCAML1	DSCAML1	chr11	ENSG00000177103.9	DSCAML1	direct
KMT2A	KMT2A	chr11	ENSG00000118058.16	KMT2A	direct
CBL	CBL	chr11	ENSG00000110395.4	CBL	direct
USP2	USP2	chr11	ENSG00000036672.11	USP2	direct
ARHGEF12	ARHGEF12	chr11	ENSG00000196914.4	ARHGEF12	direct
DCPS	DCPS	chr11	ENSG00000110063.4	DCPS	direct
ETV6	ETV6	chr12	ENSG00000139083.6	ETV6	direct
DHH	DHH	chr12	ENSG00000139549.2	DHH	direct
HOXC13	HOXC13	chr12	ENSG00000123364.3	HOXC13	direct
HOXC11	HOXC11	chr12	ENSG00000123388.4	HOXC11	direct
FLT3	FLT3	chr13	ENSG00000122025.10	FLT3	direct
CCDC88C	CCDC88C	chr14	ENSG00000015133.14	CCDC88C	direct
TRIP11	TRIP11	chr14	ENSG00000100815.8	TRIP11	direct
CEP170B	CEP170B	chr14	ENSG00000099814.11	CEP170B	direct
KNL1	KNL1	chr15	ENSG00000137812.15	CASC5	curated_historical_symbol
TCF12	TCF12	chr15	ENSG00000140262.13	TCF12	direct
PML	PML	chr15	ENSG00000140464.15	PML	direct
AKAP13	AKAP13	chr15	ENSG00000170776.15	AKAP13	direct
NTRK3	NTRK3	chr15	ENSG00000140538.12	NTRK3	direct
CREBBP	CREBBP	chr16	ENSG00000005339.8	CREBBP	direct
GLIS2	GLIS2	chr16	ENSG00000126603.4	GLIS2	direct
MYH11	MYH11	chr16	ENSG00000133392.12	MYH11	direct
FUS	FUS	chr16	ENSG00000089280.14	FUS	direct
CBFB	CBFB	chr16	ENSG00000067955.9	CBFB	direct
CBFA2T3	CBFA2T3	chr16	ENSG00000129993.10	CBFA2T3	direct
GAS7	GAS7	chr17	ENSG00000007237.14	GAS7	direct
TOP3A	TOP3A	chr17	ENSG00000177302.10	TOP3A	direct
NF1	NF1	chr17	ENSG00000196712.12	NF1	direct
ACACA	ACACA	chr17	ENSG00000132142.15	ACACA	direct
MLLT6	MLLT6	chr17	ENSG00000108292.12	MLLT6	direct
LASP1	LASP1	chr17	ENSG00000002834.13	LASP1	direct
RARA	RARA	chr17	ENSG00000131759.13	RARA	direct
CLTC	CLTC	chr17	ENSG00000141367.7	CLTC	direct
GPR128	GPR128_REVIEW_REQUIRED	chr17	.	.	unresolved
SEPTIN9	SEPTIN9	chr17	ENSG00000184640.13	SEPT9	curated_historical_symbol
ME2	ME2	chr18	ENSG00000082212.7	ME2	direct
MLLT1	MLLT1	chr19	ENSG00000130382.7	MLLT1	direct
