# Observed per-target mean coverage across historical Adaptive Sampling runs.
# DESCRIPTIVE ONLY. These are not adequacy gates, not reportability thresholds and
# not a no-call definition. Run labels are deliberately reduced to a count so that
# no sample can be identified from this file.
# Labels ending in _REVIEW_REQUIRED carry an unresolved contradiction in the source
# and must not be read as a confirmed target for that gene.
# genome_build=GRCh38 panel_version=AS_FUSION_PANEL_V1_UNCONFIRMED
gene	chromosome	start	end	length	runs	min_mean_depth	median_mean_depth	max_mean_depth
ABI1	chr10	26736596	26871088	134492	9	19.35	28.24	57.85
ABI2	chr2	203318394	203442170	123776	9	20.11	32.08	65.26
ABL1	chr9	130825254	130897675	72421	9	11.75	35.41	60.59
ACACA	chr17	37074992	37416837	341845	9	17.68	29.71	64.84
ACTN4	chr19	38637649	38741590	103941	9	7.49	37.00	65.52
AFDN	chr6	167816911	167982023	165112	9	12.54	28.98	63.85
AFF1	chr4	86925002	87151055	226053	9	18.66	28.83	53.10
AFF3	chr2	99535419	100152591	617172	9	19.84	29.55	65.62
AKAP13	chr15	85370603	85759359	388756	9	20.82	27.36	63.23
ALK	chr2	29182774	29931587	748813	9	19.45	30.37	67.39
ANLN	chr7	36379862	36463792	83930	9	11.56	30.29	61.84
AP2A2	chr11	915809	1022246	106437	9	8.12	48.00	102.15
ARHGAP26	chr5	142760377	143239012	478635	9	19.15	29.91	65.04
ARHGEF12	chr11	120326413	120499938	173525	9	17.69	28.68	62.07
ARHGEF17	chr11	73298276	73379389	81113	9	6.35	35.61	77.76
BCR	chr22	23170509	23328037	157528	9	8.76	33.87	64.51
BUD13	chr11	116738170	116782999	44829	9	16.47	29.92	68.52
C2CD3	chr11	74002718	74181003	178285	9	20.01	29.90	66.18
CASP8AP2	chr6	89819880	89884437	64557	9	13.95	32.62	58.75
CBFA2T3	chr16	88864858	88987207	122349	9	3.54	37.15	116.69
CBFB	chr16	67019149	67111058	91909	9	16.86	30.45	64.48
CBL	chr11	119196339	119318150	121811	9	16.10	31.47	64.32
CCDC88C	chr14	91261323	91427821	166498	9	11.41	39.76	70.90
CEP170B	chr14	104855268	104906748	51480	9	5.35	34.07	109.88
CHIC2	chr4	53999791	54074606	74815	9	18.09	23.60	54.77
CIP2A	chr3	108539866	108599439	59573	9	14.03	24.80	64.25
CLTC	chr17	59609689	59706957	97268	9	16.45	27.47	56.59
CREBBP	chr16	3715054	3890713	175659	9	14.34	32.60	60.77
CT45A2	chrX	135801668	135881813	80145	9	3.10	6.34	14.74
DAB2IP	chr9	121557102	121795531	238429	9	9.92	39.99	65.96
DAPK1	chr9	87487228	87718635	231407	9	17.40	33.55	63.36
DCP1A	chr3	53273429	53357544	84115	9	13.20	32.25	56.87
